,Mkt-RF,SMB,HML,MOM,RF
2014-01-31,0.02835213688550547,0.022337930434241746,0.0089717908672041,0.01663099041928571,0.0001
2014-02-28,-0.00022189355270330917,-0.028771607910848884,-0.01500650631476384,-0.02119702877947938,0.00011021897810218978
2014-03-31,0.03514598421453116,0.007686498365103236,0.005094062549700565,0.059290319143288306,0.00012043795620437956
2014-04-30,0.07453634353836114,0.03467856885706071,-0.008559407905852797,0.009048612200250054,0.00013065693430656936
2014-05-31,-0.0045369018625501184,-0.03818708086403069,0.006405520357537439,0.04627540144223393,0.00014087591240875914
2014-06-30,-0.004536163062713124,0.006615846463307606,0.02286392023563139,0.007363146849353814,0.00015109489051094892
2014-07-31,0.0770645766978326,0.008497069856210588,0.05058050448436056,0.07712617737086956,0.0001613138686131387
2014-08-31,0.04053456281188089,0.02154557179443275,-0.03413446496480547,0.06643692948551216,0.00017153284671532848
2014-09-30,-0.015126347367072844,-0.02892376777195205,0.066991001239688,-0.0037137451967675732,0.00018175182481751826
2014-10-31,0.030415201961368408,-0.031011415327106908,-0.055562633985675056,0.03900498328340244,0.00019197080291970804
2014-11-30,-0.014853796176560801,0.015048539140422442,-0.001553552851067497,0.027588158235480165,0.00020218978102189782
2014-12-31,-0.014957838910661558,0.009424616830829652,0.020649516194537285,0.052902104513632205,0.0002124087591240876
2015-01-31,0.016888302220471534,0.008262321258646916,0.011429756032050981,-0.02877232112030366,0.0002226277372262774
2015-02-28,-0.0800976110096009,0.010661205237424396,-0.015680985594617815,0.02901180109994538,0.00023284671532846718
2015-03-31,-0.07162130246308647,-0.01500061803946227,-0.0032436675107182598,0.042044857039735574,0.00024306569343065696
2015-04-30,-0.01930293881584377,0.007806342429025089,-0.011790028039764993,-0.056555882024809004,0.00025328467153284674
2015-05-31,-0.03957740041504907,0.009326811832467032,-0.014680942708326351,-0.03641404794330213,0.0002635036496350365
2015-06-30,0.020141129966787324,-0.015858785450659198,0.02848806291063075,-0.06637312622160353,0.0002737226277372263
2015-07-31,-0.0348610833984545,0.048644362778618916,0.01371046457895142,-0.004429239205559519,0.0002839416058394161
2015-08-31,-0.057553666560088125,0.013845823022794688,-0.017787287857819627,0.030113978952858677,0.00029416058394160586
2015-09-30,0.07195419460146993,-0.027782587430066216,0.02998799626299752,0.05758249682336099,0.00030437956204379564
2015-10-31,-0.0041599335218941045,0.018413840215845745,0.01221898562629828,0.007593317314692132,0.0003145985401459854
2015-11-30,0.009038769210956572,-0.022367041755683038,0.0273858635651688,0.06200154409499522,0.0003248175182481752
2015-12-31,-0.058113668379605556,0.0216771150935613,0.021888865257708365,-0.043303551037521204,0.000335036496350365
2016-01-31,-0.018497222603633217,0.030964889475185102,-0.021869850327662175,-0.05461838537743042,0.00034525547445255476
2016-02-29,0.010991516536943973,-0.018517057958792764,-0.01380543120590909,0.0030558305386183425,0.00035547445255474454
2016-03-31,-0.045794710984003624,0.026084403231108045,0.025418808153697854,0.018442290712875755,0.0003656934306569343
2016-04-30,0.022906410825555237,0.012319523173412459,0.021311107963003943,0.0038556838167067412,0.0003759124087591241
2016-05-31,-0.021028741046346222,0.022551503999862253,0.0023729521810755562,-0.06736047350139569,0.0003861313868613139
2016-06-30,-0.007126218740697455,0.049419824566348684,0.00651982149926346,0.0018807986170524056,0.00039635036496350366
2016-07-31,-0.02107679755032286,-0.004134702900071762,0.04132994687365275,-0.040656432517669865,0.00040656934306569344
2016-08-31,0.0893525183029022,-0.01684340410893724,-0.014747141665074898,0.028438539209051348,0.0004167883211678832
2016-09-30,0.005392624886792974,-0.020237860740638082,0.019412921435101132,0.01783093861338969,0.000427007299270073
2016-10-31,-0.041596991803015494,-0.018395257124135957,-0.003065779573016819,-0.027895792521457435,0.0004372262773722628
2016-11-30,0.043014521044643504,7.245726464739703e-05,-0.003530436096816611,-0.012985342106784276,0.00044744525547445256
